Date,Gross Return,Net Return
6/5/2023,-2.40%,-2.38%
6/6/2023,2.90%,2.86%
6/7/2023,-2.10%,-2.14%
6/8/2023,0.30%,0.27%
6/9/2023,-0.40%,-0.45%
6/10/2023,-2.20%,-2.16%
6/11/2023,-0.10%,-0.10%
6/12/2023,-0.40%,-0.39%
6/13/2023,-0.10%,-0.11%
6/14/2023,-1.10%,-1.10%
6/15/2023,-3.20%,-3.24%
6/16/2023,2.10%,2.09%
6/17/2023,0.50%,0.51%
6/18/2023,-0.30%,-0.33%
6/19/2023,0.60%,0.57%
6/20/2023,3.20%,3.23%
6/21/2023,3.50%,3.52%
6/22/2023,-0.30%,-0.26%
6/23/2023,0.90%,0.90%
6/24/2023,-0.60%,-0.57%
6/25/2023,0.30%,0.31%
6/26/2023,-1.20%,-1.19%
6/27/2023,0.60%,0.56%
6/28/2023,-1.60%,-1.59%
6/29/2023,0.70%,0.66%
6/30/2023,0.40%,0.42%
7/1/2023,-0.10%,-0.09%
7/2/2023,0.50%,0.53%
7/3/2023,0.90%,0.93%
7/4/2023,-0.60%,-0.60%
7/5/2023,-0.80%,-0.76%
7/6/2023,-0.90%,-0.90%
7/7/2023,1.10%,1.06%
7/8/2023,-0.10%,-0.13%
7/9/2023,-0.20%,-0.24%
7/10/2023,0.30%,0.26%
7/11/2023,0.20%,0.18%
7/12/2023,-0.80%,-0.79%
7/13/2023,4.30%,4.33%
7/14/2023,-2.00%,-1.98%
7/15/2023,0.30%,0.25%
7/16/2023,-0.20%,-0.21%
7/17/2023,-0.10%,-0.13%
7/18/2023,-1.30%,-1.32%
7/19/2023,0.00%,0.03%
7/20/2023,-0.30%,-0.30%
7/21/2023,-0.10%,-0.15%
7/22/2023,-0.40%,-0.39%
7/23/2023,0.50%,0.49%
7/24/2023,-1.60%,-1.63%
7/25/2023,-0.20%,-0.22%
7/26/2023,0.90%,0.89%
7/27/2023,-0.30%,-0.29%
7/28/2023,-0.10%,-0.08%
7/29/2023,0.30%,0.27%
7/30/2023,-0.50%,-0.53%
7/31/2023,-0.60%,-0.59%
8/1/2023,0.70%,0.70%
8/2/2023,-1.70%,-1.66%
8/3/2023,-0.50%,-0.52%
8/4/2023,-0.20%,-0.20%
8/5/2023,-0.10%,-0.06%
8/6/2023,-0.10%,-0.09%
8/7/2023,0.10%,0.09%
8/8/2023,1.00%,0.99%
8/9/2023,-0.20%,-0.19%
8/10/2023,0.00%,-0.01%
8/11/2023,-0.20%,-0.22%
8/12/2023,0.00%,-0.02%
8/13/2023,-0.20%,-0.19%
8/14/2023,-0.80%,-0.83%
8/15/2023,-0.90%,-0.91%
8/16/2023,-3.50%,-3.53%
8/17/2023,-0.50%,-0.46%
8/18/2023,0.00%,-0.02%
8/19/2023,0.60%,0.61%
8/20/2023,-0.80%,-0.80%
8/21/2023,-0.10%,-0.11%
8/22/2023,1.10%,1.12%
8/23/2023,0.00%,-0.02%
8/24/2023,-0.70%,-0.68%
8/25/2023,-1.00%,-0.99%
8/26/2023,0.10%,0.04%
8/27/2023,0.00%,0.00%
8/28/2023,-0.10%,-0.12%
8/29/2023,3.80%,3.79%
8/30/2023,-0.90%,-0.95%
8/31/2023,-2.40%,-2.38%
9/1/2023,-0.60%,-0.59%
9/2/2023,0.20%,0.17%
9/3/2023,0.20%,0.21%
9/4/2023,-0.20%,-0.25%
9/5/2023,-0.10%,-0.09%
9/6/2023,-0.10%,-0.09%
9/7/2023,0.70%,0.70%
9/8/2023,-0.70%,-0.67%
9/9/2023,-0.10%,-0.08%
9/10/2023,-0.60%,-0.65%
9/11/2023,-1.70%,-1.75%
9/12/2023,1.40%,1.40%
9/13/2023,0.60%,0.60%
9/14/2023,0.60%,0.57%
9/15/2023,0.60%,0.59%
9/16/2023,-0.10%,-0.12%
9/17/2023,-0.40%,-0.45%
9/18/2023,0.70%,0.64%
9/19/2023,0.60%,0.60%
9/20/2023,-0.30%,-0.29%
9/21/2023,-1.30%,-1.29%
9/22/2023,0.30%,0.24%
9/23/2023,0.00%,-0.04%
9/24/2023,-0.70%,-0.68%
9/25/2023,0.30%,0.30%
9/26/2023,-0.10%,-0.06%
9/27/2023,0.20%,0.18%
9/28/2023,1.80%,1.83%
9/29/2023,-0.30%,-0.29%
9/30/2023,0.60%,0.59%
10/1/2023,2.30%,2.33%
10/2/2023,-1.50%,-1.52%
10/3/2023,-0.40%,-0.43%
10/4/2023,0.10%,0.07%
10/5/2023,-0.70%,-0.67%
10/6/2023,1.00%,1.00%
10/7/2023,-0.20%,-0.24%
10/8/2023,-0.20%,-0.16%
10/9/2023,-1.40%,-1.45%
10/10/2023,-0.30%,-0.31%
10/11/2023,-0.60%,-0.62%
10/12/2023,-0.70%,-0.75%
10/13/2023,0.60%,0.58%
10/14/2023,0.20%,0.14%
10/15/2023,0.40%,0.42%
10/16/2023,2.70%,2.64%
10/17/2023,-0.70%,-0.74%
10/18/2023,-0.30%,-0.34%
10/19/2023,1.00%,0.94%
10/20/2023,2.40%,2.40%
10/21/2023,1.90%,1.88%
10/22/2023,0.50%,0.46%
10/23/2023,5.40%,5.40%
10/24/2023,0.00%,0.00%
10/25/2023,1.40%,1.37%
10/26/2023,-0.10%,-0.11%
10/27/2023,-0.80%,-0.85%
10/28/2023,0.20%,0.21%
10/29/2023,1.30%,1.31%
10/30/2023,1.10%,1.04%
10/31/2023,1.70%,1.64%
11/1/2023,2.90%,2.93%
11/2/2023,-1.80%,-1.84%
11/3/2023,0.10%,0.04%
11/4/2023,2.20%,2.22%
11/5/2023,-0.10%,-0.09%
11/6/2023,1.20%,1.21%
11/7/2023,0.50%,0.48%
11/8/2023,0.50%,0.50%
11/9/2023,4.40%,4.42%
11/10/2023,5.00%,4.96%
11/11/2023,-0.30%,-0.35%
11/12/2023,-0.20%,-0.20%
11/13/2023,-2.80%,-2.79%
11/14/2023,0.10%,0.07%
11/15/2023,7.10%,7.13%
11/16/2023,-5.70%,-5.74%
11/17/2023,0.20%,0.16%
11/18/2023,0.20%,0.23%
11/19/2023,2.60%,2.56%
11/20/2023,-1.70%,-1.73%
11/21/2023,-4.30%,-4.26%
11/22/2023,7.80%,7.74%
11/23/2023,-0.20%,-0.25%
11/24/2023,0.70%,0.70%
11/25/2023,1.00%,1.00%
11/26/2023,-1.20%,-1.16%
11/27/2023,-1.80%,-1.80%
11/28/2023,2.10%,2.07%
11/29/2023,0.10%,0.13%
11/30/2023,0.00%,0.02%
12/1/2023,1.60%,1.61%
12/2/2023,3.60%,3.55%
12/3/2023,0.30%,0.31%
12/4/2023,1.40%,1.41%
12/5/2023,2.50%,2.44%
12/6/2023,-0.80%,-0.77%
12/7/2023,3.50%,3.49%
12/8/2023,3.30%,3.25%
12/9/2023,-1.50%,-1.46%
12/10/2023,0.90%,0.86%
12/11/2023,-4.80%,-4.82%
12/12/2023,-0.50%,-0.47%
12/13/2023,2.50%,2.48%
12/14/2023,2.40%,2.38%
12/15/2023,-3.00%,-3.05%
12/16/2023,0.80%,0.79%
12/17/2023,-2.30%,-2.29%
12/18/2023,2.70%,2.66%
12/19/2023,-1.30%,-1.33%
12/20/2023,4.00%,3.97%
12/21/2023,5.60%,5.55%
12/22/2023,3.00%,3.00%
12/23/2023,2.80%,2.76%
12/24/2023,0.70%,0.69%
12/25/2023,2.70%,2.71%
12/26/2023,-3.20%,-3.21%
12/27/2023,1.90%,1.93%
12/28/2023,-3.60%,-3.59%
12/29/2023,0.80%,0.74%
12/30/2023,-1.60%,-1.59%
12/31/2023,0.80%,0.75%
1/1/2024,3.70%,3.71%
1/2/2024,-0.40%,-0.38%
1/3/2024,-5.10%,-5.15%
1/4/2024,4.20%,4.15%
1/5/2024,-1.80%,-1.84%
1/6/2024,-3.00%,-3.04%
1/7/2024,-2.00%,-2.03%
1/8/2024,6.70%,6.71%
1/9/2024,0.80%,0.82%
1/10/2024,3.70%,3.73%
1/11/2024,0.10%,0.08%
1/12/2024,-6.10%,-6.12%
1/13/2024,1.20%,1.18%
1/14/2024,-2.70%,-2.73%
1/15/2024,1.30%,1.29%
1/16/2024,1.60%,1.57%
1/17/2024,0.20%,0.15%
1/18/2024,-3.80%,-3.82%
1/19/2024,-2.00%,-2.02%
1/20/2024,2.20%,2.21%
1/21/2024,-0.70%,-0.66%
1/22/2024,-5.50%,-5.54%
1/23/2024,-0.40%,-0.37%
1/24/2024,1.50%,1.49%
1/25/2024,-0.70%,-0.72%
1/26/2024,4.10%,4.04%
1/27/2024,0.90%,0.93%
1/28/2024,0.10%,0.09%
1/29/2024,3.70%,3.66%
1/30/2024,0.40%,0.43%
1/31/2024,-2.70%,-2.68%
2/1/2024,1.10%,1.05%
2/2/2024,1.20%,1.20%
2/3/2024,-1.10%,-1.14%
2/4/2024,-1.00%,-1.05%
2/5/2024,0.40%,0.37%
2/6/2024,1.60%,1.59%
2/7/2024,2.90%,2.88%
2/8/2024,1.10%,1.04%
2/9/2024,3.50%,3.53%
2/10/2024,0.90%,0.90%
2/11/2024,0.30%,0.32%
2/12/2024,4.00%,3.96%
2/13/2024,-0.30%,-0.32%
2/14/2024,4.00%,3.25%
2/15/2024,-0.50%,-0.42%
2/16/2024,-1.20%,-0.97%
2/17/2024,-0.70%,-0.53%
2/18/2024,2.10%,1.70%
2/19/2024,0.30%,0.24%
2/20/2024,-0.40%,-0.35%
2/21/2024,-1.90%,-1.49%
2/22/2024,-1.40%,-1.13%
2/23/2024,-1.00%,-1.03%
2/24/2024,2.50%,2.25%
2/25/2024,0.90%,0.73%
2/26/2024,4.30%,3.46%
2/27/2024,1.60%,1.27%
2/28/2024,6.80%,5.53%
2/29/2024,0.40%,0.34%
3/1/2024,2.50%,2.02%
3/2/2024,0.30%,0.24%
3/3/2024,0.90%,0.77%
3/4/2024,3.80%,3.15%
3/5/2024,-4.30%,-3.55%
3/6/2024,4.80%,3.95%
3/7/2024,4.10%,3.43%
3/8/2024,0.60%,0.52%
3/9/2024,0.70%,0.55%
3/10/2024,0.40%,0.33%
3/11/2024,3.50%,2.95%
3/12/2024,-0.60%,-0.53%
3/13/2024,4.00%,3.39%
3/14/2024,1.00%,0.80%
3/15/2024,-1.20%,-1.03%
3/16/2024,-3.50%,-2.96%
3/17/2024,6.00%,5.02%
3/18/2024,-2.50%,-2.10%
3/19/2024,-9.20%,-7.81%
3/20/2024,10.10%,8.42%
3/21/2024,-3.90%,-3.35%
3/22/2024,-2.50%,-2.15%
3/23/2024,0.30%,0.21%
3/24/2024,4.50%,3.74%
3/25/2024,3.30%,2.80%
3/26/2024,0.30%,0.27%
3/27/2024,-2.00%,-1.72%
3/28/2024,1.90%,1.58%
3/29/2024,-0.30%,-0.22%
3/30/2024,0.40%,0.32%
3/31/2024,3.00%,2.54%
4/1/2024,-3.70%,-3.19%
4/2/2024,-6.00%,-5.09%
4/3/2024,0.80%,0.69%
4/4/2024,1.30%,1.07%
4/5/2024,-2.70%,-2.29%
4/6/2024,2.00%,1.71%
4/7/2024,1.00%,0.86%
4/8/2024,3.00%,2.51%
4/9/2024,-4.60%,-3.90%
4/10/2024,0.90%,0.75%
4/11/2024,-0.80%,-0.70%
4/12/2024,-8.50%,-7.15%
4/13/2024,-7.00%,-5.81%
4/14/2024,5.20%,4.30%
4/15/2024,-4.70%,-3.89%
4/16/2024,-0.70%,-0.58%
4/17/2024,-3.60%,-2.92%
4/18/2024,5.20%,4.21%
4/19/2024,0.20%,0.16%
4/20/2024,4.10%,3.40%
4/21/2024,-0.20%,-0.15%
4/22/2024,3.80%,3.14%
4/23/2024,-0.80%,-0.66%
4/24/2024,-4.10%,-3.38%
4/25/2024,-0.40%,-0.31%
4/26/2024,-2.30%,-1.88%
4/27/2024,1.30%,1.05%
4/28/2024,-1.10%,-0.88%
4/29/2024,-0.40%,-0.33%
4/30/2024,-6.20%,-5.06%
5/1/2024,0.50%,0.37%
5/2/2024,1.80%,1.43%
5/3/2024,5.00%,4.06%
5/4/2024,1.50%,1.19%
5/5/2024,0.30%,0.27%
5/6/2024,0.40%,0.36%
5/7/2024,-2.20%,-1.80%
5/8/2024,-2.60%,-2.18%
5/9/2024,4.20%,3.45%
5/10/2024,-3.60%,-3.01%
5/11/2024,-0.20%,-0.17%
5/12/2024,-0.10%,-0.05%
5/13/2024,1.90%,1.53%
5/14/2024,-3.00%,-2.45%
5/15/2024,8.70%,7.12%
5/16/2024,-1.00%,-0.86%
5/17/2024,4.70%,3.87%
5/18/2024,0.70%,0.56%
5/19/2024,-1.60%,-1.36%
5/20/2024,10.90%,9.06%
5/21/2024,-1.60%,-1.33%
5/22/2024,-1.50%,-1.25%
5/23/2024,-0.60%,-0.51%
5/24/2024,-1.70%,-1.44%
5/25/2024,0.90%,0.74%
5/26/2024,-1.20%,-1.00%
5/27/2024,2.60%,2.21%
5/28/2024,-1.30%,-1.12%
5/29/2024,-1.20%,-0.99%
5/30/2024,-0.10%,-0.10%
5/31/2024,-0.80%,-0.63%
6/1/2024,0.60%,0.46%
6/2/2024,-1.00%,-0.84%
6/3/2024,1.00%,0.82%
6/4/2024,3.10%,2.60%
6/5/2024,1.10%,0.95%
6/6/2024,-1.40%,-1.21%
6/7/2024,-3.80%,-3.24%
6/8/2024,-1.10%,-0.93%
6/9/2024,1.30%,1.09%
6/10/2024,-1.20%,-1.01%
6/11/2024,-4.60%,-3.87%
6/12/2024,2.80%,2.30%
6/13/2024,-3.50%,-2.95%
6/14/2024,-1.90%,-1.57%
6/15/2024,1.40%,1.18%
6/16/2024,2.10%,1.73%
6/17/2024,-3.20%,-2.69%
6/18/2024,-3.20%,-2.66%
6/19/2024,0.30%,0.21%
6/20/2024,-0.70%,-0.58%
6/21/2024,-0.30%,-0.26%
6/22/2024,-0.40%,-0.32%
6/23/2024,-2.60%,-2.11%
6/24/2024,-1.00%,-0.84%
6/25/2024,2.70%,2.15%
6/26/2024,-1.10%,-0.89%
6/27/2024,4.40%,3.55%
6/28/2024,-3.80%,-3.16%
6/29/2024,0.20%,0.18%
6/30/2024,3.50%,2.85%
7/1/2024,0.10%,0.04%
7/2/2024,1.00%,0.84%
7/3/2024,-5.50%,-4.53%
7/4/2024,-8.00%,-6.51%
7/5/2024,0.20%,0.19%
7/6/2024,5.00%,3.99%
7/7/2024,-6.20%,-5.03%
7/8/2024,3.60%,2.86%
7/9/2024,2.30%,1.88%
7/10/2024,0.40%,0.30%
7/11/2024,-1.70%,-1.36%
7/12/2024,1.60%,1.30%
7/13/2024,2.10%,1.71%
7/14/2024,3.30%,2.65%
7/15/2024,7.80%,6.40%
7/16/2024,-0.10%,-0.11%
7/17/2024,-2.00%,-1.66%
7/18/2024,0.70%,0.57%
7/19/2024,5.00%,4.12%
7/20/2024,1.30%,1.10%
7/21/2024,3.00%,2.50%
7/22/2024,-2.70%,-2.29%
7/23/2024,-1.80%,-1.53%
7/24/2024,-0.40%,-0.31%
7/25/2024,-2.00%,-1.69%
7/26/2024,4.40%,3.60%
7/27/2024,0.10%,0.06%
7/28/2024,0.50%,0.37%
7/29/2024,-1.00%,-0.86%
7/30/2024,-1.30%,-1.11%
7/31/2024,-2.80%,-2.35%
8/1/2024,-0.70%,-0.58%
8/2/2024,-7.20%,-5.97%
8/3/2024,-3.80%,-3.08%
8/4/2024,-4.40%,-3.60%
8/5/2024,-7.80%,-7.31%
8/6/2024,7.10%,6.76%
8/7/2024,-2.10%,-1.81%
8/8/2024,13.60%,10.99%
8/9/2024,-2.60%,-2.17%
8/10/2024,-0.20%,-0.18%
8/11/2024,-5.40%,-4.42%
8/12/2024,3.70%,2.94%
8/13/2024,0.90%,0.73%
8/14/2024,-2.40%,-1.96%
8/15/2024,-3.00%,-2.45%
8/16/2024,0.30%,0.24%
8/17/2024,1.60%,1.29%
8/18/2024,-0.70%,-0.56%
8/19/2024,1.70%,1.36%
8/20/2024,-1.30%,-1.06%
8/21/2024,2.80%,2.22%
8/22/2024,-0.30%,-0.26%
8/23/2024,7.00%,5.70%
8/24/2024,1.90%,1.51%
8/25/2024,-0.60%,-0.52%
8/26/2024,-2.40%,-2.00%
8/27/2024,-7.40%,-6.06%
8/28/2024,-0.20%,-0.17%
8/29/2024,-1.00%,-0.79%
8/30/2024,-0.50%,-0.39%
8/31/2024,-1.10%,-0.90%
9/1/2024,-4.40%,-4.08%
9/2/2024,5.00%,4.56%
9/3/2024,-5.00%,-4.65%
9/4/2024,2.50%,2.53%
9/5/2024,-3.60%,-3.63%
9/6/2024,-4.80%,-4.84%
9/7/2024,1.90%,1.90%
9/8/2024,1.70%,1.73%
9/9/2024,4.30%,4.31%
9/10/2024,1.20%,1.17%
9/11/2024,-1.90%,-1.90%
9/12/2024,2.10%,2.04%
9/13/2024,2.10%,1.77%
9/14/2024,-1.10%,-0.88%
9/15/2024,-2.70%,-2.61%
9/16/2024,-0.80%,-0.79%
9/17/2024,1.80%,1.77%
9/18/2024,2.10%,1.89%
9/19/2024,3.60%,2.85%
9/20/2024,1.60%,1.29%
9/21/2024,1.20%,0.97%
9/22/2024,-1.30%,-1.08%
9/23/2024,0.40%,0.34%
9/24/2024,2.60%,2.08%
9/25/2024,-2.30%,-1.91%
9/26/2024,3.40%,2.76%
9/27/2024,1.30%,1.04%
9/28/2024,-0.30%,-0.25%
9/29/2024,0.20%,0.12%
9/30/2024,-3.10%,-2.52%
10/1/2024,-4.60%,-3.74%
10/2/2024,-2.10%,-1.66%
10/3/2024,-1.00%,-0.80%
10/4/2024,3.30%,2.61%
10/5/2024,-0.20%,-0.15%
10/6/2024,1.70%,1.38%
10/7/2024,-1.10%,-0.86%
10/8/2024,-0.10%,-0.07%
10/9/2024,-2.80%,-2.22%
10/10/2024,-0.20%,-0.13%
10/11/2024,3.80%,3.06%
10/12/2024,1.00%,0.79%
10/13/2024,0.10%,0.04%
10/14/2024,5.90%,4.78%
10/15/2024,-0.30%,-0.24%
10/16/2024,0.30%,0.27%
10/17/2024,-1.30%,-1.08%
10/18/2024,2.20%,1.77%
10/19/2024,1.20%,0.97%
10/20/2024,3.00%,2.42%
10/21/2024,-1.80%,-1.45%
10/22/2024,0.10%,0.04%
10/23/2024,-0.50%,-0.41%
10/24/2024,2.60%,2.16%
10/25/2024,-4.60%,-3.80%
10/26/2024,2.00%,1.64%
10/27/2024,2.20%,1.77%
10/28/2024,2.80%,2.30%
10/29/2024,1.50%,1.25%
10/30/2024,-1.00%,-0.86%
10/31/2024,-3.70%,-3.06%
11/1/2024,-1.00%,-0.82%
11/2/2024,-0.20%,-0.16%
11/3/2024,-1.60%,-1.34%
11/4/2024,-2.10%,-1.71%
11/5/2024,3.50%,2.88%
11/6/2024,11.00%,9.01%
11/7/2024,3.50%,2.90%
11/8/2024,1.30%,1.07%
11/9/2024,1.80%,1.51%
11/10/2024,4.10%,3.49%
11/11/2024,7.90%,6.70%
11/12/2024,-3.50%,-3.01%
11/13/2024,1.00%,0.85%
11/14/2024,-3.50%,-2.99%
11/15/2024,3.70%,3.12%
11/16/2024,0.40%,0.29%
11/17/2024,2.50%,2.12%
11/18/2024,1.90%,1.62%
11/19/2024,-0.50%,-0.46%
11/20/2024,-0.10%,-0.08%
11/21/2024,7.30%,6.26%
11/22/2024,0.20%,0.15%
11/23/2024,-0.30%,-0.24%
11/24/2024,-0.40%,-0.31%
11/25/2024,-4.40%,-3.82%
11/26/2024,-1.50%,-1.27%
11/27/2024,6.10%,5.28%
11/28/2024,-1.10%,-0.96%
11/29/2024,1.90%,1.63%
11/30/2024,-0.40%,-0.37%
12/1/2024,0.30%,0.22%
12/2/2024,-2.50%,-2.17%
12/3/2024,1.90%,1.62%
12/4/2024,1.70%,1.45%
12/5/2024,0.50%,0.40%
12/6/2024,2.80%,2.44%
12/7/2024,0.20%,0.17%
12/8/2024,0.20%,0.15%
12/9/2024,-7.00%,-6.14%
12/10/2024,-1.30%,-1.17%
12/11/2024,6.20%,5.38%
12/12/2024,0.40%,0.34%
12/13/2024,-0.70%,-0.65%
12/14/2024,0.00%,-0.02%
12/15/2024,3.20%,2.79%
12/16/2024,-0.90%,-0.80%
12/17/2024,0.00%,-0.03%
12/18/2024,-6.70%,-5.82%
12/19/2024,-5.40%,-4.66%
12/20/2024,2.00%,1.72%
12/21/2024,-4.30%,-3.67%
12/22/2024,-1.20%,-1.02%
12/23/2024,3.90%,3.33%
12/24/2024,2.90%,2.52%
12/25/2024,0.10%,0.06%
12/26/2024,-4.80%,-4.16%
12/27/2024,-1.50%,-1.28%
12/28/2024,3.20%,2.71%
12/29/2024,-2.40%,-2.04%
12/30/2024,0.10%,0.06%
12/31/2024,-0.40%,-0.33%
1/1/2025,2.10%,1.71%
1/2/2025,4.40%,3.55%
1/3/2025,4.60%,3.75%
1/4/2025,0.70%,0.53%
1/5/2025,-0.40%,-0.32%
1/6/2025,1.60%,1.34%
1/7/2025,-7.00%,-5.74%
1/8/2025,-2.20%,-1.76%
1/9/2025,-4.00%,-3.36%
1/10/2025,2.00%,1.76%
1/11/2025,-0.20%,-0.18%
1/12/2025,-0.40%,-0.31%
1/13/2025,-2.10%,-1.96%
1/14/2025,2.40%,2.22%
1/15/2025,7.20%,5.73%
1/16/2025,-0.40%,-0.36%
1/17/2025,4.70%,3.77%
1/18/2025,5.10%,4.16%
1/19/2025,-4.50%,-3.70%
1/20/2025,0.00%,0.00%
1/21/2025,3.70%,3.02%
1/22/2025,-1.00%,-0.80%
1/23/2025,-0.20%,-0.16%
1/24/2025,-0.40%,-0.32%
1/25/2025,0.50%,0.39%
1/26/2025,-4.30%,-3.57%
1/27/2025,-1.40%,-1.13%
1/28/2025,-3.20%,-2.57%
1/29/2025,1.90%,1.56%
1/30/2025,3.90%,3.13%
1/31/2025,-1.80%,-1.44%
2/1/2025,-6.20%,-5.08%
2/2/2025,-6.00%,-5.39%
2/3/2025,6.00%,5.41%
2/4/2025,-5.00%,-4.41%
2/5/2025,-3.00%,-3.03%
2/6/2025,-3.00%,-3.03%
2/7/2025,-0.20%,-0.16%
2/8/2025,2.30%,2.29%
2/9/2025,-0.20%,-0.24%
2/10/2025,1.30%,1.32%
2/11/2025,-1.40%,-1.44%
2/12/2025,2.30%,2.24%
2/13/2025,-1.80%,-1.81%
2/14/2025,2.20%,2.23%
2/15/2025,-1.70%,-1.72%
2/16/2025,-2.40%,-2.40%
2/17/2025,-1.90%,-1.89%
2/18/2025,-2.90%,-2.88%
2/19/2025,0.70%,0.69%
2/20/2025,3.50%,3.52%
2/21/2025,-3.40%,-3.42%
2/22/2025,1.90%,1.86%
2/23/2025,-0.80%,-0.76%
2/24/2025,-11.00%,-10.98%
2/25/2025,-1.30%,-1.32%
2/26/2025,-5.30%,-5.26%
2/27/2025,0.00%,0.02%
2/28/2025,1.60%,1.55%
3/1/2025,-0.10%,-0.15%
3/2/2025,16.70%,16.67%
3/3/2025,-15.70%,-15.72%
3/4/2025,1.40%,1.42%
3/5/2025,3.30%,3.26%
3/6/2025,-1.30%,-1.33%
3/7/2025,-3.20%,-3.20%
3/8/2025,-0.70%,-0.70%
3/9/2025,-7.60%,-7.59%
3/10/2025,-5.10%,-5.11%
3/11/2025,5.30%,5.29%
3/12/2025,0.70%,0.71%
3/13/2025,-3.80%,-3.78%
3/14/2025,5.80%,5.80%
3/15/2025,1.40%,1.36%
3/16/2025,-4.30%,-4.31%
3/17/2025,2.50%,2.48%
3/18/2025,-1.90%,-1.91%
3/19/2025,6.80%,6.77%
3/20/2025,-5.10%,-5.06%
3/21/2025,0.50%,0.45%
3/22/2025,0.00%,-0.02%
3/23/2025,2.90%,2.85%
3/24/2025,4.00%,4.02%
3/25/2025,0.80%,0.74%
3/26/2025,-2.00%,-2.05%
3/27/2025,0.90%,0.89%
3/28/2025,-5.60%,-5.61%
3/29/2025,-3.60%,-3.58%
3/30/2025,0.00%,-0.05%
3/31/2025,-0.40%,-0.41%
4/1/2025,3.66%,3.65%
4/2/2025,-5.59%,-5.60%
4/3/2025,0.36%,0.35%
4/4/2025,1.77%,1.76%
4/5/2025,-0.96%,-0.97%
4/6/2025,-10.24%,-10.24%
4/7/2025,1.07%,1.06%
4/8/2025,-3.44%,-3.45%
4/9/2025,11.71%,11.70%
4/10/2025,-5.22%,-5.23%
4/11/2025,5.79%,5.78%
4/12/2025,5.31%,5.30%
4/13/2025,-2.95%,-2.96%
4/14/2025,1.00%,0.99%
4/15/2025,-2.25%,-2.26%
4/16/2025,1.58%,1.57%
4/17/2025,1.86%,1.85%
4/18/2025,-0.58%,-0.59%
4/19/2025,2.17%,2.16%
4/20/2025,-0.60%,-0.61%
4/21/2025,1.24%,1.23%
4/22/2025,9.34%,9.33%
4/23/2025,1.57%,1.56%
4/24/2025,1.01%,1.00%
4/25/2025,0.53%,0.52%
4/26/2025,0.06%,0.05%
4/27/2025,-1.09%,-1.10%
4/28/2025,0.59%,0.58%
4/29/2025,-0.83%,-0.84%
4/30/2025,0.18%,0.17%
5/1/2025,2.60%,2.59%
5/2/2025,-0.80%,-0.82%
5/3/2025,-1.30%,-1.28%
5/4/2025,-1.80%,-1.79%
5/5/2025,1.10%,1.12%
5/6/2025,1.00%,0.99%
5/7/2025,0.10%,0.08%
5/8/2025,11.00%,10.94%
5/9/2025,2.50%,2.49%
5/10/2025,3.50%,3.45%
5/11/2025,-1.60%,-1.63%
5/12/2025,-1.20%,-1.24%
5/13/2025,3.80%,3.79%
5/14/2025,-2.30%,-2.32%
5/15/2025,-2.20%,-2.18%
5/16/2025,-0.60%,-0.59%
5/17/2025,-0.90%,-0.93%
5/18/2025,3.60%,3.63%
5/19/2025,-1.80%,-1.77%
5/20/2025,0.90%,0.93%
5/21/2025,2.50%,2.48%
5/22/2025,2.60%,2.63%
5/23/2025,-4.20%,-4.24%
5/24/2025,0.80%,0.77%
5/25/2025,0.60%,0.57%
5/26/2025,-0.10%,-0.06%
5/27/2025,1.00%,1.02%
5/28/2025,-1.40%,-1.45%
5/29/2025,-2.50%,-2.52%
5/30/2025,-5.20%,-5.22%
5/31/2025,1.50%,1.44%
