Date,Gross Return,Net Return
9/30/2020,0.10%,0.10%
10/1/2020,-1.70%,-1.47%
10/2/2020,-0.70%,-0.60%
10/3/2020,0.50%,0.43%
10/4/2020,1.10%,0.95%
10/5/2020,0.20%,0.18%
10/6/2020,-1.80%,-1.50%
10/7/2020,0.20%,0.19%
10/8/2020,1.20%,0.99%
10/9/2020,1.70%,1.43%
10/10/2020,0.80%,0.65%
10/11/2020,0.60%,0.52%
10/12/2020,2.20%,1.85%
10/13/2020,-0.60%,-0.55%
10/14/2020,0.00%,-0.03%
10/15/2020,0.20%,0.13%
10/16/2020,-2.00%,-1.72%
10/17/2020,0.30%,0.29%
10/18/2020,1.10%,0.92%
10/19/2020,0.30%,0.26%
10/20/2020,-0.70%,-0.63%
10/21/2020,5.00%,4.26%
10/22/2020,2.20%,1.91%
10/23/2020,-0.30%,-0.29%
10/24/2020,0.80%,0.65%
10/25/2020,-0.80%,-0.73%
10/26/2020,-0.30%,-0.22%
10/27/2020,2.60%,2.22%
10/28/2020,-2.60%,-2.26%
10/29/2020,0.10%,0.09%
10/30/2020,-0.60%,-0.48%
10/31/2020,0.90%,0.79%
11/1/2020,0.40%,0.35%
11/2/2020,-1.40%,-1.20%
11/3/2020,0.50%,0.45%
11/4/2020,1.30%,1.07%
11/5/2020,5.00%,4.26%
11/6/2020,3.00%,2.60%
11/7/2020,-3.60%,-3.12%
11/8/2020,2.50%,2.14%
11/9/2020,-1.00%,-0.83%
11/10/2020,0.30%,0.25%
11/11/2020,1.30%,1.08%
11/12/2020,1.30%,1.09%
11/13/2020,2.40%,2.04%
11/14/2020,-2.60%,-2.29%
11/15/2020,-1.20%,-1.01%
11/16/2020,2.90%,2.55%
11/17/2020,3.70%,3.24%
11/18/2020,0.10%,0.10%
11/19/2020,-0.90%,-0.83%
11/20/2020,4.40%,3.84%
11/21/2020,3.20%,2.78%
11/22/2020,-0.40%,-0.32%
11/23/2020,3.50%,3.12%
11/24/2020,2.10%,1.81%
11/25/2020,-3.50%,-3.07%
11/26/2020,-7.50%,-6.64%
11/27/2020,0.00%,0.00%
11/28/2020,5.30%,4.62%
11/29/2020,1.60%,1.38%
11/30/2020,5.40%,4.78%
12/1/2020,-3.50%,-3.10%
12/2/2020,1.50%,1.36%
12/3/2020,1.40%,1.22%
12/4/2020,-4.50%,-3.97%
12/5/2020,2.40%,2.10%
12/6/2020,0.70%,0.64%
12/7/2020,-0.90%,-0.83%
12/8/2020,-3.70%,-3.29%
12/9/2020,1.50%,1.33%
12/10/2020,-1.30%,-1.19%
12/11/2020,-1.20%,-1.05%
12/12/2020,2.40%,2.09%
12/13/2020,1.90%,1.68%
12/14/2020,0.30%,0.26%
12/15/2020,0.30%,0.24%
12/16/2020,6.80%,6.00%
12/17/2020,3.00%,2.70%
12/18/2020,1.30%,1.20%
12/19/2020,2.20%,1.95%
12/20/2020,-1.40%,-1.22%
12/21/2020,-3.20%,-2.84%
12/22/2020,3.00%,2.70%
12/23/2020,-4.60%,-4.13%
12/24/2020,3.00%,2.64%
12/25/2020,2.50%,2.20%
12/26/2020,3.50%,3.17%
12/27/2020,1.60%,1.46%
12/28/2020,3.80%,3.43%
12/29/2020,1.20%,1.05%
12/30/2020,2.90%,2.57%
12/31/2020,0.10%,0.05%
1/1/2021,0.60%,0.50%
1/2/2021,6.00%,4.77%
1/3/2021,8.50%,6.87%
1/4/2021,0.80%,0.66%
1/5/2021,4.90%,4.00%
1/6/2021,7.40%,6.12%
1/7/2021,3.90%,3.25%
1/8/2021,1.30%,1.13%
1/9/2021,1.50%,1.26%
1/10/2021,-3.00%,-2.55%
1/11/2021,-8.80%,-7.45%
1/12/2021,-3.50%,-2.93%
1/13/2021,6.70%,5.53%
1/14/2021,4.40%,3.70%
